Network of 28-10-90 with 546 segments - SE corner region
  2350.  2350.  20.	box dimensions in microns						
  47    47    1		"number of tissue points in x,y,z directions"					
  100			outer bound distance (100. in test case)				
  50				max. segment length.  (5. in test case)			
  8				"nodsegm, max. allowed number of segments per node"			
  445				total number of segments 			
name	type	from	to	diam		flow		HD	
1	5	1	2	13.5369	3.00E+01	0.4	
2	5	2	3	13.5375	3.00E+01	0.4	
3	5	3	4	13.5386	3.00E+01	0.4	
4	5	4	5	13.5397	3.00E+01	0.4	
5	5	5	6	13.5408	3.00E+01	0.4	
6	5	6	7	13.5419	3.00E+01	0.4	
7	5	7	8	13.5426	3.00E+01	0.4	
8	5	8	9	12.7957	2.84E+01	0.4	
9	5	9	10	12.7959	2.84E+01	0.4	
10	5	10	11	13.9488	2.66E+01	0.4	
11	5	11	12	13.9491	2.66E+01	0.4	
12	5	12	13	13.6412	2.58E+01	0.4	
13	5	13	14	13.6419	2.58E+01	0.4	
14	5	14	15	14.73	2.36E+01	0.4	
15	5	15	16	14.7307	2.36E+01	0.4	
16	5	16	17	14.3772	2.07E+01	0.4	
17	5	17	18	14.378	2.07E+01	0.4	
18	5	18	19	14.3784	2.07E+01	0.4	
19	5	19	20	14.3788	2.07E+01	0.4	
20	5	20	21	15.1563	2.04E+01	0.4	
21	5	21	22	15.1565	2.04E+01	0.4	
22	5	22	23	14.8423	2.01E+01	0.4	
23	5	23	24	14.8426	2.01E+01	0.4	
24	5	24	25	11.9871	1.57E+01	0.4	
25	5	25	26	11.9881	1.57E+01	0.4	
26	5	26	27	11.9891	1.57E+01	0.4	
27	5	27	28	11.9897	1.57E+01	0.4	
28	5	28	29	11.9902	1.57E+01	0.4	
29	5	29	30	12.1055	9.65E+00	0.4	
30	5	30	31	12.1054	9.65E+00	0.4	
31	5	31	32	11.5241	6.29E+00	0.4	
32	5	32	33	11.5242	6.29E+00	0.4	
33	5	33	34	11.5243	6.29E+00	0.4	
34	5	34	35	11.5246	6.29E+00	0.4	
35	5	35	36	11.525	6.29E+00	0.4	
36	5	36	37	11.5253	6.29E+00	0.4	
37	5	37	38	12.4334	5.27E+00	0.4	
38	5	38	39	12.4337	5.27E+00	0.4	
39	5	39	40	12.4341	5.27E+00	0.4	
40	5	40	41	12.1835	4.86E+00	0.4	
41	5	41	42	12.1838	4.86E+00	0.4	
42	5	42	43	12.1839	4.86E+00	0.4	
43	5	43	44	6.0728	1.30E+00	0.4	
44	5	44	45	6.0731	1.30E+00	0.4	
45	5	40	46	6.9497	4.02E-01	0.4	
46	5	46	47	6.95	4.02E-01	0.4	
47	5	47	48	6.9505	4.02E-01	0.4	
48	5	48	49	6.951	4.02E-01	0.4	
49	5	49	50	6.9518	4.02E-01	0.4	
50	5	50	51	6.9528	4.02E-01	0.4	
51	5	37	52	5.846	1.03E+00	0.4	
52	5	52	53	5.8463	1.03E+00	0.4	
53	5	29	54	12.983	6.07E+00	0.4	
54	5	54	55	12.9836	6.07E+00	0.4	
55	5	24	56	6.1493	4.37E+00	0.4	
56	5	56	57	6.1496	4.37E+00	0.4	
57	5	57	58	6.1498	4.37E+00	0.4	
58	5	58	59	5.2555	1.28E+00	0.4	
59	5	59	60	5.2557	1.28E+00	0.4	
60	5	60	61	8.7034	8.40E-01	0.4	
61	5	61	62	8.7038	8.40E-01	0.4	
62	5	22	63	3.8158	2.73E-01	0.4	
63	5	63	64	3.8168	2.73E-01	0.4	
64	5	64	65	3.8183	2.73E-01	0.4	
65	5	65	66	3.8204	2.73E-01	0.4	
66	5	16	67	6.6096	2.98E+00	0.4	
67	5	67	68	6.611	2.98E+00	0.4	
68	5	68	69	6.6125	2.98E+00	0.4	
69	5	69	66	6.6148	2.98E+00	0.4	
70	5	66	70	6.4189	3.25E+00	0.4	
71	5	70	71	6.4219	3.25E+00	0.4	
72	5	71	72	6.0445	3.14E+00	0.4	
73	5	72	73	6.0449	3.14E+00	0.4	
74	5	73	74	6.6064	3.55E-01	0.4	
75	5	74	75	6.6111	3.55E-01	0.4	
76	5	75	76	6.6147	3.55E-01	0.4	
77	5	14	77	6.6899	2.20E+00	0.4	
78	5	77	78	6.6911	2.20E+00	0.4	
79	5	78	79	6.6918	2.20E+00	0.4	
80	5	79	80	5.148	1.33E+00	0.4	
81	5	80	81	5.1491	1.33E+00	0.4	
82	5	81	82	6.2624	5.02E-01	0.4	
83	5	82	83	6.2642	5.02E-01	0.4	
84	5	83	84	6.2669	5.02E-01	0.4	
85	5	84	85	6.2691	5.02E-01	0.4	
86	5	85	86	6.2709	5.02E-01	0.4	
87	5	86	87	6.2716	5.02E-01	0.4	
88	5	87	88	6.2713	5.02E-01	0.4	
89	5	88	89	6.2697	5.02E-01	0.4	
90	5	10	90	6.0785	1.83E+00	0.4	
91	5	90	91	6.0807	1.83E+00	0.4	
92	5	91	92	6.3175	5.07E-01	0.4	
93	5	92	93	6.3207	5.07E-01	0.4	
94	5	93	94	6.3284	5.07E-01	0.4	
95	5	95	96	13.2362	1.50E+01	0.4	
96	5	96	97	8.742	6.67E+00	0.4	
97	5	97	98	8.7428	6.67E+00	0.4	
98	5	96	99	11.3541	8.33E+00	0.4	
99	5	99	100	11.3544	8.33E+00	0.4	
100	5	100	101	8.4247	7.00E+00	0.4	
101	5	101	102	8.425	7.00E+00	0.4	
102	5	62	103	5.4618	6.36E-01	0.4	
103	5	103	104	5.462	6.36E-01	0.4	
104	5	104	105	5.4624	6.36E-01	0.4	
105	5	8	106	5.8133	1.59E+00	0.4	
106	5	106	107	5.8142	1.59E+00	0.4	
107	5	107	108	5.8154	1.59E+00	0.4	
108	5	108	109	5.8167	1.59E+00	0.4	
109	5	109	110	5.8175	1.59E+00	0.4	
110	5	110	111	5.8179	1.59E+00	0.4	
111	5	111	112	5.8183	1.59E+00	0.4	
112	5	112	113	5.8184	1.59E+00	0.4	
113	5	12	114	5.0609	7.51E-01	0.4	
114	5	114	115	5.0621	7.51E-01	0.4	
115	5	115	116	5.0631	7.51E-01	0.4	
116	5	116	117	5.0638	7.51E-01	0.4	
117	5	117	118	5.0645	7.51E-01	0.4	
118	5	118	119	5.0651	7.51E-01	0.4	
119	5	119	120	5.0656	7.51E-01	0.4	
120	5	120	121	5.0658	7.51E-01	0.4	
121	5	121	113	5.066	7.51E-01	0.4	
122	5	31	122	7.8561	3.35E+00	0.4	
123	5	122	123	7.8566	3.35E+00	0.4	
124	5	123	124	7.8571	3.35E+00	0.4	
125	5	43	125	9.1254	3.56E+00	0.4	
126	5	125	126	9.1255	3.56E+00	0.4	
127	5	126	127	9.1257	3.56E+00	0.4	
128	5	45	128	11.1036	1.08E+00	0.4	
129	5	128	127	11.1036	1.08E+00	0.4	
130	5	51	129	6.5631	3.62E-01	0.4	
131	5	129	130	6.5623	3.62E-01	0.4	
132	5	53	131	11.1028	9.28E-01	0.4	
133	5	131	132	11.1033	9.28E-01	0.4	
134	5	55	133	10.7162	5.95E+00	0.4	
135	5	133	134	10.7162	5.95E+00	0.4	
136	5	134	135	10.7158	5.95E+00	0.4	
137	5	135	136	10.7157	5.95E+00	0.4	
138	5	136	137	10.7154	5.95E+00	0.4	
139	5	58	138	7.3531	3.10E+00	0.4	
140	5	138	139	7.3536	3.10E+00	0.4	
141	5	139	140	7.3541	3.10E+00	0.4	
142	5	60	141	6.2936	4.36E-01	0.4	
143	5	141	140	6.294	4.36E-01	0.4	
144	5	71	142	4.0685	1.13E-01	0.4	
145	5	142	143	4.0747	1.13E-01	0.4	
146	5	143	144	4.0791	1.13E-01	0.4	
147	5	144	145	4.0801	1.13E-01	0.4	
148	5	145	146	4.078	1.13E-01	0.4	
149	5	146	147	4.0729	1.13E-01	0.4	
150	5	73	148	12.1039	2.78E+00	0.4	
151	5	148	149	12.1012	2.78E+00	0.4	
152	5	149	150	12.0992	2.78E+00	0.4	
153	5	150	151	12.0991	2.78E+00	0.4	
154	5	151	152	12.1002	2.78E+00	0.4	
155	5	152	153	12.1017	2.78E+00	0.4	
156	5	153	154	12.1014	2.78E+00	0.4	
157	5	76	155	6.0824	1.51E-01	0.4	
158	5	155	156	6.0797	1.51E-01	0.4	
159	5	156	147	6.0762	1.51E-01	0.4	
160	5	79	157	6.0019	8.65E-01	0.4	
161	5	157	158	6.003	8.65E-01	0.4	
162	5	158	159	6.004	8.65E-01	0.4	
163	5	159	160	6.0047	8.65E-01	0.4	
164	5	160	161	6.0053	8.65E-01	0.4	
165	5	161	162	6.0057	8.65E-01	0.4	
166	5	162	163	6.0058	8.65E-01	0.4	
167	5	163	164	6.0057	8.65E-01	0.4	
168	5	164	165	6.0055	8.65E-01	0.4	
169	5	165	166	6.0055	8.65E-01	0.4	
170	5	81	167	6.8819	8.28E-01	0.4	
171	5	167	168	6.8827	8.28E-01	0.4	
172	5	168	169	6.8836	8.28E-01	0.4	
173	5	169	170	6.8847	8.28E-01	0.4	
174	5	170	171	6.8859	8.28E-01	0.4	
175	5	171	172	6.8869	8.28E-01	0.4	
176	5	172	173	6.8871	8.28E-01	0.4	
177	5	173	174	6.8864	8.28E-01	0.4	
178	5	174	175	6.886	8.28E-01	0.4	
179	5	175	176	6.8854	8.28E-01	0.4	
180	5	176	177	6.8848	8.28E-01	0.4	
181	5	89	178	6.3771	4.51E-01	0.4	
182	5	178	179	6.3765	4.51E-01	0.4	
183	5	179	180	6.3754	4.51E-01	0.4	
184	5	180	181	6.3735	4.51E-01	0.4	
185	5	91	182	5.0808	1.32E+00	0.4	
186	5	182	183	5.0827	1.32E+00	0.4	
187	5	183	184	5.0861	1.32E+00	0.4	
188	5	184	185	5.0888	1.32E+00	0.4	
189	5	185	186	5.0888	1.32E+00	0.4	
190	5	94	187	4.1777	2.12E-01	0.4	
191	5	187	188	4.18	2.12E-01	0.4	
192	5	188	189	4.1818	2.12E-01	0.4	
193	5	189	190	4.1824	2.12E-01	0.4	
194	5	190	191	4.1825	2.12E-01	0.4	
195	5	194	195	7.2444	2.00E+00	0.4	
196	5	195	196	7.2447	2.00E+00	0.4	
197	5	196	197	7.245	2.00E+00	0.4	
198	5	197	198	7.2452	2.00E+00	0.4	
199	5	198	199	7.2455	2.00E+00	0.4	
200	5	98	200	10.0982	5.08E+00	0.4	
201	5	200	201	10.0989	5.08E+00	0.4	
202	5	201	202	10.0998	5.08E+00	0.4	
203	5	202	203	10.1007	5.08E+00	0.4	
204	5	100	204	6.9474	1.33E+00	0.4	
205	5	204	205	6.9482	1.33E+00	0.4	
206	5	205	206	6.9493	1.33E+00	0.4	
207	5	206	207	6.9506	1.33E+00	0.4	
208	5	102	208	12.6028	5.00E+00	0.4	
209	5	105	209	4.3982	2.50E-02	0.4	
210	5	209	210	4.3988	2.50E-02	0.4	
211	5	210	211	4.3993	2.50E-02	0.4	
212	5	45	212	7.0551	2.24E-01	0.4	
213	5	212	213	7.0564	2.24E-01	0.4	
214	5	213	214	7.0581	2.24E-01	0.4	
215	5	214	215	7.0611	2.24E-01	0.4	
216	5	215	216	7.0638	2.24E-01	0.4	
217	5	216	217	7.0652	2.24E-01	0.4	
218	5	217	218	7.0654	2.24E-01	0.4	
219	5	218	219	7.0642	2.24E-01	0.4	
220	5	219	220	7.062	2.24E-01	0.4	
221	5	220	221	7.0589	2.24E-01	0.4	
222	5	51	222	3.8716	3.94E-02	0.4	
223	5	222	223	3.8724	3.94E-02	0.4	
224	5	53	224	6.5092	1.00E-01	0.4	
225	5	224	225	6.5094	1.00E-01	0.4	
226	5	225	132	6.5097	1.00E-01	0.4	
227	5	20	226	4.4187	2.89E-01	0.4	
228	5	226	227	4.4203	2.89E-01	0.4	
229	5	227	228	4.4234	2.89E-01	0.4	
230	5	228	229	4.4261	2.89E-01	0.4	
231	5	229	230	4.4272	2.89E-01	0.4	
232	5	230	231	4.4269	2.89E-01	0.4	
233	5	62	232	3.8712	2.04E-01	0.4	
234	5	232	233	3.8716	2.04E-01	0.4	
235	5	233	124	3.8719	2.04E-01	0.4	
236	5	76	234	6.8084	2.04E-01	0.4	
237	5	234	235	6.8036	2.04E-01	0.4	
238	5	235	154	6.7977	2.04E-01	0.4	
239	5	89	236	4.0014	5.12E-02	0.4	
240	5	236	237	3.9999	5.12E-02	0.4	
241	5	237	238	3.9984	5.12E-02	0.4	
242	5	238	239	3.9976	5.12E-02	0.4	
243	5	239	240	3.9973	5.12E-02	0.4	
244	5	240	181	3.9974	5.12E-02	0.4	
245	5	94	241	4.3465	2.95E-01	0.4	
246	5	241	242	4.3476	2.95E-01	0.4	
247	5	242	243	4.3508	2.95E-01	0.4	
248	5	243	191	4.3523	2.95E-01	0.4	
249	5	55	245	3.8666	1.23E-01	0.4	
250	5	245	246	3.8674	1.23E-01	0.4	
251	5	246	231	3.8685	1.23E-01	0.4	
252	5	98	247	7.1279	1.59E+00	0.4	
253	5	247	248	7.1286	1.59E+00	0.4	
254	5	248	249	7.1293	1.59E+00	0.4	
255	5	249	250	7.1302	1.59E+00	0.4	
256	5	102	251	8.9259	2.00E+00	0.4	
257	5	251	252	8.9267	2.00E+00	0.4	
258	5	252	253	8.9278	2.00E+00	0.4	
259	5	253	207	8.9294	2.00E+00	0.4	
260	5	105	254	5.2016	6.11E-01	0.4	
261	5	254	255	5.2017	6.11E-01	0.4	
262	5	256	257	49.6694	2.41E+02	0.4	
263	5	258	259	44.642	7.76E+01	0.4	
264	5	259	260	44.6425	7.76E+01	0.4	
265	5	260	261	44.6428	7.76E+01	0.4	
266	5	261	262	44.642	7.76E+01	0.4	
267	5	262	263	44.6403	7.76E+01	0.4	
