Network of 28-10-90 with 546 segments (1130 subsegments with min. segment length 100.000000)
4566. 7071. 20. box dimensions in microns
92 142 1 number of tissue points in x,y,z directions
100.	outer bound distance
150.	max. segment length
4		maximum number of segments per node
1130	total number of segments
SegName Type StartNode EndNode Diam   Flow[nl/min]    Hd
1 5 830 1 27.650000 362.559998 0.433800 *
2 5 1 5001 23.110001 344.230255 0.445569 *
3 5 5001 5002 23.110001 344.230255 0.445569 *
4 5 5002 2 23.110001 344.230255 0.445569 *
5 5 2 5003 26.740000 318.537323 0.460602 *
6 5 5003 5004 26.740000 318.537323 0.460602 *
7 5 5004 3 26.740000 318.537323 0.460602 *
8 5 3 5005 22.049999 176.309708 0.468082 *
9 5 5005 5006 22.049999 176.309708 0.468082 *
10 5 5006 4 22.049999 176.309708 0.468082 *
11 5 4 5007 20.219999 166.329559 0.483182 *
12 5 5007 5 20.219999 166.329559 0.483182 *
13 5 5 6 20.020000 135.522049 0.497624 *
14 5 6 5008 16.549999 57.225830 0.485691 *
15 5 5008 5009 16.549999 57.225830 0.485691 *
16 5 5009 5010 16.549999 57.225830 0.485691 *
17 5 5010 5011 16.549999 57.225830 0.485691 *
18 5 5011 7 16.549999 57.225830 0.485691 *
19 5 7 5012 13.530000 24.771852 0.464908 *
20 5 5012 5013 13.530000 24.771852 0.464908 *
21 5 5013 5014 13.530000 24.771852 0.464908 *
22 5 5014 5015 13.530000 24.771852 0.464908 *
23 5 5015 5016 13.530000 24.771852 0.464908 *
24 5 5016 8 13.530000 24.771852 0.464908 *
25 5 8 9 12.780000 22.606215 0.491739 *
26 5 9 10 13.940000 20.640461 0.519988 *
27 5 10 11 13.630000 19.504980 0.542769 *
28 5 11 12 14.720000 17.243065 0.570348 *
29 5 12 5017 14.370000 14.891993 0.594948 *
30 5 5017 13 14.370000 14.891993 0.594948 *
31 5 13 14 15.150000 14.320066 0.614464 *
32 5 14 15 14.840000 13.887212 0.631552 *
33 5 15 5018 11.980000 11.221527 0.651892 *
34 5 5018 16 11.980000 11.221527 0.651892 *
35 5 16 17 12.100000 5.463306 0.656124 *
36 5 17 5019 11.520000 3.628097 0.666727 *
37 5 5019 5020 11.520000 3.628097 0.666727 *
38 5 5020 18 11.520000 3.628097 0.666727 *
39 5 18 5021 12.430000 2.889981 0.687963 *
40 5 5021 19 12.430000 2.889981 0.687963 *
41 5 19 20 12.180000 2.471742 0.716580 *
42 5 20 21 6.060000 0.674187 0.664270 *
43 5 19 5022 6.950000 0.418240 0.518846 *
44 5 5022 5023 6.950000 0.418240 0.518846 *
45 5 5023 22 6.950000 0.418240 0.518846 *
46 5 18 23 5.840000 0.738115 0.583579 *
47 5 16 24 12.980000 5.758221 0.647877 *
48 5 15 25 6.140000 2.665685 0.545927 *
49 5 25 26 5.250000 0.849201 0.444020 *
50 5 26 27 8.710000 0.520654 0.463629 *
51 5 14 5024 3.800000 0.432854 0.066241 *
52 5 5024 29 3.800000 0.432854 0.066241 *
53 5 12 5025 6.590000 2.351072 0.414529 *
54 5 5025 5026 6.590000 2.351072 0.414529 *
55 5 5026 29 6.590000 2.351072 0.414529 *
56 5 29 30 6.390000 2.783926 0.360376 *
57 5 30 31 6.020000 2.473702 0.404782 *
58 5 31 32 6.590000 0.430820 0.105107 *
59 5 11 5027 6.680000 2.261915 0.332527 *
60 5 5027 33 6.680000 2.261915 0.332527 *
61 5 33 34 5.130000 1.225290 0.390451 *
62 5 34 5028 6.250000 0.519745 0.330820 *
63 5 5028 5029 6.250000 0.519745 0.330820 *
64 5 5029 5030 6.250000 0.519745 0.330820 *
65 5 5030 35 6.250000 0.519745 0.330820 *
66 5 9 5031 6.060000 1.965755 0.195116 *
67 5 5031 36 6.060000 1.965755 0.195116 *
68 5 36 5032 6.300000 0.800098 0.098028 *
69 5 5032 37 6.300000 0.800098 0.098028 *
70 5 7 5033 13.660000 32.453979 0.501554 *
71 5 5033 38 13.660000 32.453979 0.501554 *
72 5 38 5034 16.110001 29.924728 0.526918 *
73 5 5034 5035 16.110001 29.924728 0.526918 *
74 5 5035 39 16.110001 29.924728 0.526918 *
75 5 39 5036 16.110001 27.091316 0.550990 *
76 5 5036 5037 16.110001 27.091316 0.550990 *
77 5 5037 40 16.110001 27.091316 0.550990 *
78 5 40 5038 14.810000 26.991705 0.553023 *
79 5 5038 5039 14.810000 26.991705 0.553023 *
80 5 5039 41 14.810000 26.991705 0.553023 *
81 5 41 5040 12.880000 21.059633 0.575148 *
82 5 5040 5041 12.880000 21.059633 0.575148 *
83 5 5041 42 12.880000 21.059633 0.575148 *
84 5 42 43 12.800000 19.591015 0.601896 *
85 5 43 44 9.660000 4.404879 0.477878 *
86 5 44 45 8.550000 3.736389 0.524759 *
87 5 45 46 10.090000 3.378189 0.566294 *
88 5 44 5042 5.920000 0.668490 0.215843 *
89 5 5042 5043 5.920000 0.668490 0.215843 *
90 5 5043 5044 5.920000 0.668490 0.215843 *
91 5 5044 5045 5.920000 0.668490 0.215843 *
92 5 5045 47 5.920000 0.668490 0.215843 *
93 5 43 5046 12.560000 15.186136 0.637869 *
94 5 5046 48 12.560000 15.186136 0.637869 *
95 5 48 49 13.470000 3.636981 0.502335 *
96 5 41 50 7.440000 5.932072 0.474477 *
97 5 50 5047 5.640000 1.241587 0.224531 *
98 5 5047 51 5.640000 1.241587 0.224531 *
99 5 6 5048 18.240000 78.296219 0.506346 *
100 5 5048 52 18.240000 78.296219 0.506346 *
101 5 52 5049 17.660000 67.085152 0.524132 *
102 5 5049 5050 17.660000 67.085152 0.524132 *
103 5 5050 53 17.660000 67.085152 0.524132 *
104 5 53 5051 13.160000 21.319149 0.481462 *
105 5 5051 54 13.160000 21.319149 0.481462 *
106 5 54 5052 10.380000 20.046722 0.505528 *
107 5 5052 55 10.380000 20.046722 0.505528 *
108 5 55 5053 15.090000 18.847321 0.534112 *
109 5 5053 5054 15.090000 18.847321 0.534112 *
110 5 5054 5055 15.090000 18.847321 0.534112 *
111 5 5055 56 15.090000 18.847321 0.534112 *
112 5 56 57 11.090000 17.274389 0.558713 *
113 5 57 5056 12.430000 8.766378 0.572131 *
114 5 5056 58 12.430000 8.766378 0.572131 *
115 5 58 5057 14.740000 5.505831 0.553190 *
116 5 5057 5058 14.740000 5.505831 0.553190 *
117 5 5058 59 14.740000 5.505831 0.553190 *
118 5 59 5059 7.670000 2.613159 0.556158 *
119 5 5059 60 7.670000 2.613159 0.556158 *
120 5 60 61 8.640000 2.285448 0.608010 *
121 5 61 62 9.850000 1.226062 0.609283 *
122 5 62 5060 9.960000 0.618700 0.541396 *
123 5 5060 63 9.960000 0.618700 0.541396 *
124 5 63 64 6.390000 0.546733 0.584472 *
125 5 64 65 11.380000 0.399310 0.631291 *
126 5 62 66 6.200000 0.607362 0.678438 *
127 5 66 67 8.000000 0.454055 0.748640 *
128 5 57 68 13.340000 8.508011 0.544888 *
129 5 68 5061 11.720000 6.650229 0.573067 *
130 5 5061 69 11.720000 6.650229 0.573067 *
131 5 69 70 7.820000 4.913395 0.612574 *
132 5 70 5062 10.440000 2.326902 0.564458 *
133 5 5062 5063 10.440000 2.326902 0.564458 *
134 5 5063 71 10.440000 2.326902 0.564458 *
135 5 71 72 8.850000 1.701739 0.595581 *
136 5 70 5064 8.980000 2.586493 0.655861 *
137 5 5064 73 8.980000 2.586493 0.655861 *
138 5 54 5065 3.830000 1.272427 0.102314 *
139 5 5065 74 3.830000 1.272427 0.102314 *
140 5 53 5066 16.360001 45.766003 0.544008 *
141 5 5066 5067 16.360001 45.766003 0.544008 *
142 5 5067 5068 16.360001 45.766003 0.544008 *
143 5 5068 5069 16.360001 45.766003 0.544008 *
144 5 5069 5070 16.360001 45.766003 0.544008 *
145 5 5070 5071 16.360001 45.766003 0.544008 *
146 5 5071 5072 16.360001 45.766003 0.544008 *
147 5 5072 75 16.360001 45.766003 0.544008 *
148 5 75 5073 15.390000 40.089466 0.568763 *
149 5 5073 76 15.390000 40.089466 0.568763 *
150 5 76 77 12.610000 15.868489 0.548499 *
151 5 77 5074 11.130000 11.538795 0.571607 *
152 5 5074 5075 11.130000 11.538795 0.571607 *
153 5 5075 78 11.130000 11.538795 0.571607 *
154 5 78 5076 11.550000 7.921955 0.588666 *
155 5 5076 5077 11.550000 7.921955 0.588666 *
156 5 5077 79 11.550000 7.921955 0.588666 *
157 5 78 80 7.590000 3.616840 0.534243 *
158 5 77 81 7.240000 4.329694 0.486916 *
159 5 76 5078 14.560000 24.220976 0.582038 *
160 5 5078 82 14.560000 24.220976 0.582038 *
161 5 82 83 16.760000 23.153809 0.602267 *
162 5 83 5079 17.709999 19.149700 0.619654 *
163 5 5079 84 17.709999 19.149700 0.619654 *
164 5 84 5080 12.350000 14.592379 0.646374 *
165 5 5080 85 12.350000 14.592379 0.646374 *
166 5 85 5081 11.310000 3.272244 0.522950 *
167 5 5081 86 11.310000 3.272244 0.522950 *
168 5 86 5082 8.040000 0.952749 0.424536 *
169 5 5082 87 8.040000 0.952749 0.424536 *
170 5 84 5083 10.100000 4.557322 0.534101 *
171 5 5083 5084 10.100000 4.557322 0.534101 *
172 5 5084 5085 10.100000 4.557322 0.534101 *
173 5 5085 88 10.100000 4.557322 0.534101 *
174 5 88 5086 7.850000 1.260512 0.388962 *
175 5 5086 5087 7.850000 1.260512 0.388962 *
176 5 5087 5088 7.850000 1.260512 0.388962 *
177 5 5088 89 7.850000 1.260512 0.388962 *
178 5 89 5089 6.050000 0.891759 0.446546 *
179 5 5089 90 6.050000 0.891759 0.446546 *
180 5 88 91 8.400000 3.296809 0.589593 *
181 5 75 5090 8.330000 5.676538 0.369184 *
182 5 5090 92 8.330000 5.676538 0.369184 *
183 5 92 5091 6.310000 2.171005 0.295112 *
184 5 5091 93 6.310000 2.171005 0.295112 *
185 5 5 94 8.980000 30.807505 0.419650 *
186 5 94 95 8.860000 13.316365 0.337950 *
187 5 95 5092 7.970000 8.842995 0.351888 *
188 5 5092 96 7.970000 8.842995 0.351888 *
189 5 4 97 6.560000 9.980157 0.216430 *
190 5 97 98 5.920000 5.884211 0.246769 *
191 5 3 99 21.740000 142.227615 0.451329 *
192 5 99 100 19.200001 128.676697 0.467050 *
193 5 100 5093 16.139999 84.289902 0.491241 *
194 5 5093 101 16.139999 84.289902 0.491241 *
195 5 101 102 16.389999 63.495136 0.505676 *
196 5 102 5094 16.420000 46.673286 0.510068 *
197 5 5094 5095 16.420000 46.673286 0.510068 *
198 5 5095 5096 16.420000 46.673286 0.510068 *
199 5 5096 5097 16.420000 46.673286 0.510068 *
200 5 5097 103 16.420000 46.673286 0.510068 *
201 5 103 5098 14.620000 37.995445 0.530802 *
202 5 5098 5099 14.620000 37.995445 0.530802 *
203 5 5099 104 14.620000 37.995445 0.530802 *
204 5 104 5100 15.680000 32.883366 0.555794 *
205 5 5100 5101 15.680000 32.883366 0.555794 *
206 5 5101 5102 15.680000 32.883366 0.555794 *
207 5 5102 105 15.680000 32.883366 0.555794 *
208 5 105 5103 14.500000 28.850273 0.579158 *
209 5 5103 5104 14.500000 28.850273 0.579158 *
210 5 5104 106 14.500000 28.850273 0.579158 *
211 5 106 107 13.560000 21.498453 0.603836 *
212 5 107 5105 9.960000 8.680434 0.571071 *
213 5 5105 5106 9.960000 8.680434 0.571071 *
214 5 5106 108 9.960000 8.680434 0.571071 *
215 5 108 5107 7.250000 0.720435 0.169958 *
216 5 5107 5108 7.250000 0.720435 0.169958 *
217 5 5108 5109 7.250000 0.720435 0.169958 *
218 5 5109 109 7.250000 0.720435 0.169958 *
219 5 109 110 4.990000 0.355189 0.202955 *
220 5 107 111 10.390000 12.818019 0.626025 *
221 5 111 5110 8.110000 1.366097 0.319254 *
222 5 5110 5111 8.110000 1.366097 0.319254 *
223 5 5111 5112 8.110000 1.366097 0.319254 *
224 5 5112 112 8.110000 1.366097 0.319254 *
225 5 106 113 9.370000 7.351820 0.506990 *
226 5 113 114 7.170000 5.122897 0.565527 *
227 5 114 115 6.330000 2.518620 0.549195 *
228 5 115 5113 8.080000 1.327864 0.581159 *
229 5 5113 116 8.080000 1.327864 0.581159 *
230 5 116 117 8.910000 0.326105 0.390907 *
231 5 114 118 6.050000 2.604278 0.581322 *
232 5 105 5114 6.390000 4.033092 0.388670 *
233 5 5114 119 6.390000 4.033092 0.388670 *
234 5 119 120 7.530000 3.471598 0.446269 *
235 5 104 121 6.980000 5.112079 0.370038 *
236 5 121 122 4.610000 1.959650 0.353911 *
237 5 103 123 7.500000 8.677842 0.419285 *
238 5 101 5115 8.760000 20.794767 0.447165 *
239 5 5115 5116 8.760000 20.794767 0.447165 *
240 5 5116 124 8.760000 20.794767 0.447165 *
241 5 124 125 10.120000 12.528334 0.466614 *
242 5 125 5117 6.990000 4.661246 0.424722 *
243 5 5117 126 6.990000 4.661246 0.424722 *
244 5 125 127 8.460000 7.867088 0.491435 *
245 5 124 128 8.360000 8.266434 0.417689 *
246 5 100 5118 15.420000 44.386795 0.421112 *
247 5 5118 5119 15.420000 44.386795 0.421112 *
248 5 5119 5120 15.420000 44.386795 0.421112 *
249 5 5120 5121 15.420000 44.386795 0.421112 *
250 5 5121 5122 15.420000 44.386795 0.421112 *
251 5 5122 129 15.420000 44.386795 0.421112 *
252 5 129 130 15.750000 34.006664 0.433731 *
253 5 130 832 12.690000 32.209999 0.453157 *
254 5 130 5123 5.110000 1.796665 0.085459 *
255 5 5123 5124 5.110000 1.796665 0.085459 *
256 5 5124 5125 5.110000 1.796665 0.085459 *
257 5 5125 5126 5.110000 1.796665 0.085459 *
258 5 5126 5127 5.110000 1.796665 0.085459 *
259 5 5127 5128 5.110000 1.796665 0.085459 *
260 5 5128 5129 5.110000 1.796665 0.085459 *
261 5 5129 134 5.110000 1.796665 0.085459 *
262 5 129 135 7.130000 10.380132 0.379771 *
263 5 1 5130 7.370000 18.329733 0.212782 *
264 5 5130 136 7.370000 18.329733 0.212782 *
265 5 136 5131 8.280000 12.076734 0.248286 *
266 5 5131 137 8.280000 12.076734 0.248286 *
267 5 137 138 8.460000 6.460997 0.248031 *
268 5 138 139 6.840000 5.273261 0.286374 *
269 5 136 829 6.790000 6.253000 0.144212 *
270 5 818 213 13.240000 13.207000 0.326200 *
271 5 213 214 8.740000 5.194315 0.316969 *
272 5 213 215 11.360000 8.012685 0.332184 *
273 5 215 216 8.430000 6.582216 0.372000 *
274 5 824 5132 9.850000 20.000000 0.277800 *
275 5 5132 218 9.850000 20.000000 0.277800 *
276 5 218 5133 9.020000 12.359518 0.295956 *
277 5 5133 219 9.020000 12.359518 0.295956 *
278 5 219 5134 6.360000 6.754234 0.331850 *
279 5 5134 220 6.360000 6.754234 0.331850 *
280 5 219 5135 7.140000 5.605284 0.252704 *
281 5 5135 221 7.140000 5.605284 0.252704 *
282 5 218 222 7.350000 7.640482 0.248431 *
283 5 222 5136 5.640000 3.336408 0.221811 *
284 5 5136 223 5.640000 3.336408 0.221811 *
285 5 826 230 9.250000 3.000000 0.500000 *
286 5 230 5137 11.620000 0.725707 0.290867 *
287 5 5137 5138 11.620000 0.725707 0.290867 *
288 5 5138 5139 11.620000 0.725707 0.290867 *
289 5 5139 231 11.620000 0.725707 0.290867 *
290 5 835 235 9.490000 3.000000 0.500000 *
